benchmark,tamanho,conjunto,instancia,PT_MOSP,BKS
SCOOP,14x10,B_22X18_50,N/A,10,10
SCOOP,27x21,B_23B25_52,N/A,5,5
SCOOP,14x10,B_39Q18_82,N/A,5,5
SCOOP,17x10,B_42F22_93,N/A,5,5
SCOOP,13x12,B_CARLET_137,N/A,5,5
SCOOP,31x26,B_CUC28A_138,N/A,6,6
SCOOP,24x20,B_GTM18A_139,N/A,5,5
SCOOP,60x49,B_REVAL_145,N/A,7,7
Challenge,50x50,GP,1,45,45
Challenge,50x50,GP,2,40,40
Challenge,50x50,GP,3,40,40
Challenge,50x50,GP,4,30,30
Challenge,100x100,GP,5,95,95
Challenge,100x100,GP,6,76,75
Challenge,100x100,GP,7,77,75
Challenge,100x100,GP,8,62,60
Challenge,40x20,Miller,,13,13
Challenge,20x10,NWRS,1,3,3
Challenge,20x10,NWRS,2,4,4
Challenge,25x15,NWRS,3,7,7
Challenge,25x15,NWRS,4,7,7
Challenge,30x20,NWRS,5,12,12
Challenge,30x20,NWRS,6,12,12
Challenge,59x25,NWRS,7,10,10
Challenge,59x25,NWRS,8,16,16
Challenge,25x25,SP,1,9,9
Challenge,50x50,SP,2,19,19
Challenge,75x75,SP,3,34,34
Challenge,100x100,SP,4,53,53
Challenge,20x20,Shaw,1,14,14
Challenge,20x20,Shaw,2,12,12
Challenge,20x20,Shaw,3,14,14
Challenge,20x20,Shaw,4,13,13
Challenge,20x20,Shaw,5,14,14
Challenge,20x20,Shaw,6,14,14
Challenge,20x20,Shaw,7,13,13
Challenge,20x20,Shaw,8,14,14
Challenge,20x20,Shaw,9,13,13
Challenge,20x20,Shaw,10,13,13
Challenge,20x20,Shaw,11,15,15
Challenge,20x20,Shaw,12,13,13
Challenge,20x20,Shaw,13,13,13
Challenge,20x20,Shaw,14,14,14
Challenge,20x20,Shaw,15,14,14
Challenge,20x20,Shaw,16,14,14
Challenge,20x20,Shaw,17,15,15
Challenge,20x20,Shaw,18,14,14
Challenge,20x20,Shaw,19,14,14
Challenge,20x20,Shaw,20,14,14
Challenge,20x20,Shaw,21,12,12
Challenge,20x20,Shaw,22,14,14
Challenge,20x20,Shaw,23,14,14
Challenge,20x20,Shaw,24,14,14
Challenge,20x20,Shaw,25,14,14
